Idx,w_bc,min-bc-loss,min-total-loss
1.000000000000000000e+00,1.000000000000000238e-03,1.044961507432162762e-03,1.168950228020548820e-03
2.000000000000000000e+00,1.013946493370684963e-03,1.059534959495067596e-03,2.281790366396307945e-03
3.000000000000000000e+00,1.028087491418707387e-03,1.057335059158504009e-03,1.452283584512770176e-03
4.000000000000000000e+00,1.042425706802262370e-03,1.072962302714586258e-03,1.911689410917460918e-03
5.000000000000000000e+00,1.056963890011611458e-03,1.084518502466380596e-03,1.403962727636098862e-03
6.000000000000000000e+00,1.071704829896711394e-03,1.103681395761668682e-03,1.515889540314674377e-03
7.000000000000000000e+00,1.086651354202195895e-03,1.118568936362862587e-03,1.536408788524568081e-03
8.000000000000000000e+00,1.101806330109822386e-03,1.140645355917513371e-03,1.575235626660287380e-03
9.000000000000000000e+00,1.117172664788477349e-03,1.167402369901537895e-03,1.655044266954064369e-03
1.000000000000000000e+01,1.132753305951860216e-03,1.183683518320322037e-03,2.288921037688851357e-03
1.100000000000000000e+01,1.148551242423937954e-03,1.200191793031990528e-03,4.894345067441463470e-03
1.200000000000000000e+01,1.164569504712295242e-03,1.216930220834910870e-03,1.652673934586346149e-03
1.300000000000000000e+01,1.180811165589466761e-03,1.233902177773416042e-03,4.829279147088527679e-03
1.400000000000000000e+01,1.197279340682390813e-03,1.251110690645873547e-03,1.665499527007341385e-03
1.500000000000000000e+01,1.213977189070074465e-03,1.268559368327260017e-03,1.709965756163001060e-03
1.600000000000000000e+01,1.230907913889602717e-03,1.286251237615942955e-03,5.621626973152160645e-03
1.700000000000000000e+01,1.248074762950587531e-03,1.304190023802220821e-03,5.585913080722093582e-03
1.800000000000000000e+01,1.265481029358196804e-03,1.322378870099782944e-03,1.761755906045436859e-03
1.900000000000000000e+01,1.283130052144866931e-03,1.340821385383605957e-03,4.901787266135215759e-03
2.000000000000000000e+01,1.301025216910831886e-03,1.359521294943988323e-03,1.823281869292259216e-03
2.100000000000000000e+01,1.319169956473572464e-03,1.378481741994619370e-03,6.758857518434524536e-03
2.200000000000000000e+01,1.337567751526336397e-03,1.090466044843196869e-03,5.997841246426105499e-03
2.300000000000000000e+01,1.356222131305840142e-03,1.417199848219752312e-03,5.514855496585369110e-03
2.400000000000000000e+01,1.375136674269272904e-03,1.436964841559529305e-03,5.039907060563564301e-03
2.500000000000000000e+01,1.394315008780754690e-03,1.457005506381392479e-03,5.724060814827680588e-03
2.600000000000000000e+01,1.413760813807360493e-03,1.477325567975640297e-03,6.604470312595367432e-03
2.700000000000000000e+01,1.433477819624858710e-03,1.497929100878536701e-03,1.906844321638345718e-03
2.800000000000000000e+01,1.453469808533280460e-03,1.518819946795701981e-03,6.653777789324522018e-03
2.900000000000000000e+01,1.473740615582480248e-03,1.540002063848078251e-03,1.938391011208295822e-03
3.000000000000000000e+01,1.494294129307808779e-03,1.561479759402573109e-03,2.025684341788291931e-03
3.100000000000000000e+01,1.515134292476053371e-03,1.583256875164806843e-03,2.404866274446249008e-03
3.200000000000000000e+01,1.536265102841767637e-03,1.605337834917008877e-03,6.790972314774990082e-03
3.300000000000000000e+01,1.557690613914164759e-03,1.627726596780121326e-03,2.017184626311063766e-03
3.400000000000000000e+01,1.579414935734695146e-03,1.650427700951695442e-03,2.151597524061799049e-03
3.500000000000000000e+01,1.601442235665479549e-03,1.673445454798638821e-03,2.080389298498630524e-03
3.600000000000000000e+01,1.623776739188722553e-03,1.696784049272537231e-03,2.105355029925704002e-03
3.700000000000000000e+01,1.646422730717288794e-03,1.720448373816907406e-03,6.034690421074628830e-03
3.800000000000000000e+01,1.669384554416582190e-03,1.744442502968013287e-03,2.161176176741719246e-03
3.900000000000000000e+01,1.692666615037876536e-03,1.768771442584693432e-03,5.892431363463401794e-03
4.000000000000000000e+01,1.716273378763281520e-03,1.793439500033855438e-03,2.212353050708770752e-03
4.100000000000000000e+01,1.740209374062484920e-03,1.818451797589659691e-03,2.307093702256679535e-03
4.200000000000000000e+01,1.764479192561450730e-03,1.843812759034335613e-03,2.086082706227898598e-03
4.300000000000000000e+01,1.789087489923220234e-03,1.869527506642043591e-03,6.935564801096916199e-03
4.400000000000000000e+01,1.814038986741009453e-03,1.895600813440978527e-03,6.181822624057531357e-03
4.500000000000000000e+01,1.839338469443754960e-03,1.922037801705300808e-03,2.450519008561968803e-03
4.600000000000000000e+01,1.864990791214297602e-03,1.948843477293848991e-03,2.400719560682773590e-03
