Idx,w_bc,min-bc-loss,min-total-loss
0.0000,0.0010,0.0007,0.0008
1.0000,0.0010,0.0007,0.0008
2.0000,0.0010,0.0007,0.0011
3.0000,0.0010,0.0007,0.0008
4.0000,0.0011,0.0007,0.0008
5.0000,0.0011,0.0007,0.0009
6.0000,0.0011,0.0007,0.0009
7.0000,0.0011,0.0007,0.0008
8.0000,0.0011,0.0008,0.0009
9.0000,0.0011,0.0008,0.0009
10.0000,0.0011,0.0008,0.0009
11.0000,0.0012,0.0008,0.0009
12.0000,0.0012,0.0008,0.0009
13.0000,0.0012,0.0008,0.0010
14.0000,0.0012,0.0008,0.0010
15.0000,0.0012,0.0008,0.0010
16.0000,0.0012,0.0009,0.0010
17.0000,0.0013,0.0009,0.0013
18.0000,0.0013,0.0009,0.0010
19.0000,0.0013,0.0009,0.0010
20.0000,0.0013,0.0009,0.0012
21.0000,0.0013,0.0009,0.0011
22.0000,0.0014,0.0009,0.0011
23.0000,0.0014,0.0009,0.0011
24.0000,0.0014,0.0010,0.0011
25.0000,0.0014,0.0010,0.0013
26.0000,0.0014,0.0010,0.0012
27.0000,0.0015,0.0010,0.0012
28.0000,0.0015,0.0010,0.0011
29.0000,0.0015,0.0010,0.0014
30.0000,0.0015,0.0010,0.0015
31.0000,0.0015,0.0011,0.0027
32.0000,0.0016,0.0011,0.0018
33.0000,0.0016,0.0011,0.0015
34.0000,0.0016,0.0011,0.0013
35.0000,0.0016,0.0011,0.0013
36.0000,0.0016,0.0010,0.0011
37.0000,0.0017,0.0011,0.0013
38.0000,0.0017,0.0012,0.0014
39.0000,0.0017,0.0012,0.0013
40.0000,0.0017,0.0010,0.0012
41.0000,0.0018,0.0012,0.0014
42.0000,0.0018,0.0012,0.0018
43.0000,0.0018,0.0012,0.0014
44.0000,0.0018,0.0013,0.0014
45.0000,0.0019,0.0013,0.0015
46.0000,0.0019,0.0013,0.0021
47.0000,0.0019,0.0013,0.0015
48.0000,0.0019,0.0013,0.0015
49.0000,0.0020,0.0013,0.0014
50.0000,0.0020,0.0014,0.0016
51.0000,0.0020,0.0014,0.0015
52.0000,0.0021,0.0014,0.0015
53.0000,0.0021,0.0014,0.0016
54.0000,0.0021,0.0014,0.0016
55.0000,0.0021,0.0015,0.0022
56.0000,0.0022,0.0015,0.0017
57.0000,0.0022,0.0015,0.0017
58.0000,0.0022,0.0015,0.0017
59.0000,0.0023,0.0016,0.0018
60.0000,0.0023,0.0013,0.0015
61.0000,0.0023,0.0016,0.0018
62.0000,0.0024,0.0016,0.0020
63.0000,0.0024,0.0016,0.0019
64.0000,0.0024,0.0017,0.0019
65.0000,0.0025,0.0017,0.0019
66.0000,0.0025,0.0017,0.0030
67.0000,0.0025,0.0017,0.0020
68.0000,0.0026,0.0017,0.0019
