Idx,w_bc,min-bc-loss,min-total-loss
0.0000,0.0567,0.0468,0.0516
1.0000,0.0575,0.0601,0.0665
2.0000,0.0583,0.0254,0.0289
3.0000,0.0591,0.0260,0.0319
4.0000,0.0599,0.0452,0.0490
5.0000,0.0608,0.0293,0.0313
6.0000,0.0616,0.0296,0.0327
7.0000,0.0625,0.0298,0.0321
8.0000,0.0634,0.0299,0.0333
9.0000,0.0642,0.0671,0.0749
10.0000,0.0651,0.0255,0.0293
11.0000,0.0660,0.0292,0.0336
12.0000,0.0670,0.0267,0.0305
13.0000,0.0679,0.0100,0.0346
14.0000,0.0688,0.0307,0.0349
15.0000,0.0698,0.0317,0.0353
16.0000,0.0708,0.0323,0.0359
17.0000,0.0718,0.0324,0.0426
18.0000,0.0728,0.0181,0.0402
19.0000,0.0738,0.0171,0.0213
20.0000,0.0748,0.0348,0.0388
21.0000,0.0758,0.0301,0.0346
22.0000,0.0769,0.0226,0.0255
23.0000,0.0780,0.0354,0.0411
24.0000,0.0790,0.0322,0.0339
25.0000,0.0802,0.0258,0.0401
26.0000,0.0813,0.0383,0.0522
27.0000,0.0824,0.0193,0.0254
28.0000,0.0835,0.0361,0.0416
29.0000,0.0847,0.0363,0.0408
30.0000,0.0859,0.0336,0.0386
31.0000,0.0871,0.0330,0.0396
32.0000,0.0883,0.0202,0.0413
33.0000,0.0895,0.0357,0.0410
34.0000,0.0908,0.0625,0.0729
35.0000,0.0920,0.0234,0.0289
36.0000,0.0933,0.0975,0.1080
37.0000,0.0946,0.0989,0.1094
38.0000,0.0959,0.0425,0.0486
39.0000,0.0973,0.0355,0.0415
40.0000,0.0986,0.0382,0.0437
41.0000,0.1000,0.0363,0.0415
42.0000,0.1014,0.0382,0.0445
43.0000,0.1028,0.0305,0.0365
44.0000,0.1042,0.0439,0.0496
45.0000,0.1057,0.0275,0.0498
46.0000,0.1072,0.0387,0.0456
47.0000,0.1087,0.1135,0.1253
48.0000,0.1102,0.0384,0.0439
49.0000,0.1117,0.0359,0.0523
50.0000,0.1133,0.0350,0.0408
51.0000,0.1148,0.1200,0.1340
52.0000,0.1164,0.0462,0.0513
53.0000,0.1181,0.1234,0.1386
54.0000,0.1197,0.0339,0.0422
55.0000,0.1214,0.0502,0.0585
56.0000,0.1231,0.0563,0.0641
57.0000,0.1248,0.0301,0.0449
58.0000,0.1265,0.0886,0.0992
59.0000,0.1283,0.0472,0.0547
60.0000,0.1301,0.0318,0.0381
61.0000,0.1319,0.1378,0.1549
62.0000,0.1337,0.1397,0.1553
63.0000,0.1356,0.0488,0.0560
64.0000,0.1374,0.0191,0.0248
65.0000,0.1394,0.1456,0.1626
66.0000,0.1413,0.0607,0.0681
67.0000,0.1433,0.1497,0.1640
68.0000,0.1453,0.0319,0.0439
69.0000,0.1473,0.0550,0.0634
70.0000,0.1493,0.0532,0.0722
71.0000,0.1514,0.0529,0.0610
72.0000,0.1535,0.0493,0.0576
73.0000,0.1557,0.0422,0.0489
74.0000,0.1578,0.0579,0.0669
75.0000,0.1600,0.0535,0.0643
76.0000,0.1623,0.0399,0.0491
77.0000,0.1645,0.0982,0.1253
78.0000,0.1668,0.0396,0.0492
79.0000,0.1691,0.0534,0.0634
80.0000,0.1715,0.0611,0.0692
81.0000,0.1739,0.0960,0.1057
82.0000,0.1763,0.0639,0.0731
83.0000,0.1788,0.0218,0.0293
84.0000,0.1812,0.0364,0.0495
85.0000,0.1838,0.0370,0.0469
86.0000,0.1863,0.0445,0.0506
87.0000,0.1889,0.0408,0.0498
88.0000,0.1916,0.0649,0.0771
89.0000,0.1942,0.0656,0.0789
90.0000,0.1969,0.0595,0.0755
91.0000,0.1997,0.0421,0.0541
92.0000,0.2024,0.0620,0.0766
93.0000,0.2053,0.0632,0.0752
94.0000,0.2081,0.0297,0.0418
95.0000,0.2110,0.0500,0.0637
96.0000,0.2140,0.0242,0.0317
97.0000,0.2169,0.0372,0.0499
98.0000,0.2200,0.0832,0.0968
99.0000,0.2230,0.0480,0.0595
100.0000,0.2261,0.0347,0.0592
101.0000,0.2293,0.0918,0.1036
102.0000,0.2325,0.0699,0.0846
103.0000,0.2357,0.0802,0.0943
104.0000,0.2390,0.0415,0.0566
105.0000,0.2423,0.0815,0.0947
106.0000,0.2457,0.0366,0.0501
107.0000,0.2491,0.0539,0.0677
108.0000,0.2526,0.0368,0.0526
109.0000,0.2561,0.0246,0.0422
110.0000,0.2597,0.0746,0.0936
111.0000,0.2633,0.0582,0.0712
112.0000,0.2669,0.0540,0.0636
113.0000,0.2707,0.0342,0.0445
114.0000,0.2744,0.0400,0.0637
115.0000,0.2783,0.0356,0.0551
116.0000,0.2821,0.0499,0.0652
117.0000,0.2861,0.0372,0.0522
118.0000,0.2900,0.0111,0.0207
119.0000,0.2941,0.0516,0.1464
120.0000,0.2982,0.0356,0.0494
121.0000,0.3023,0.0374,0.0488
122.0000,0.3065,0.1440,0.2339
123.0000,0.3108,0.0288,0.0435
124.0000,0.3151,0.0293,0.0480
125.0000,0.3195,0.0361,0.0456
126.0000,0.3240,0.0162,0.0293
127.0000,0.3285,0.0171,0.0274
128.0000,0.3331,0.0379,0.0555
129.0000,0.3377,0.0378,0.0552
130.0000,0.3424,0.0190,0.0350
131.0000,0.3472,0.0168,0.0318
132.0000,0.3520,0.0273,0.0418
133.0000,0.3569,0.0218,0.0375
134.0000,0.3619,0.0141,0.0265
135.0000,0.3669,0.0084,0.0237
136.0000,0.3720,0.0051,0.0141
137.0000,0.3772,0.0142,0.0314
138.0000,0.3825,0.0098,0.0221
139.0000,0.3878,0.0054,0.0242
140.0000,0.3932,0.0199,0.0370
141.0000,0.3987,0.0176,0.0346
142.0000,0.4042,0.0379,0.0534
143.0000,0.4098,0.0154,0.0282
144.0000,0.4155,0.0071,0.0232
145.0000,0.4213,0.0120,0.0275
146.0000,0.4272,0.0106,0.0260
147.0000,0.4331,0.0050,0.0189
148.0000,0.4392,0.0126,0.0300
149.0000,0.4453,0.0049,0.0185
150.0000,0.4515,0.0089,0.0318
151.0000,0.4578,0.0058,0.0206
152.0000,0.4642,0.0089,0.0239
153.0000,0.4706,0.0101,0.0226
154.0000,0.4772,0.0113,0.0304
155.0000,0.4838,0.0048,0.0142
156.0000,0.4906,0.0154,0.0383
157.0000,0.4974,0.0108,0.0268
158.0000,0.5043,0.0155,0.0317
159.0000,0.5113,0.0062,0.0182
160.0000,0.5185,0.0199,0.0344
161.0000,0.5257,0.0164,0.0369
162.0000,0.5330,0.0135,0.0242
163.0000,0.5404,0.0458,0.0753
164.0000,0.5479,0.0211,0.0410
165.0000,0.5556,0.0168,0.0338
166.0000,0.5633,0.0071,0.0203
167.0000,0.5712,0.0180,0.0385
168.0000,0.5791,0.0248,0.0422
169.0000,0.5872,0.0123,0.0316
170.0000,0.5954,0.0437,0.0763
171.0000,0.6036,0.0100,0.0203
172.0000,0.6120,0.0042,0.0170
173.0000,0.6206,0.0034,0.0090
174.0000,0.6292,0.0035,0.0090
175.0000,0.6380,0.0060,0.0213
176.0000,0.6469,0.0022,0.0080
177.0000,0.6559,0.0070,0.0191
178.0000,0.6650,0.0044,0.0102
179.0000,0.6743,0.0208,0.0503
180.0000,0.6837,0.0033,0.0107
181.0000,0.6932,0.0138,0.0312
182.0000,0.7028,0.0021,0.0092
183.0000,0.7126,0.0034,0.0095
184.0000,0.7225,0.0071,0.0203
185.0000,0.7326,0.0069,0.0178
186.0000,0.7428,0.0044,0.0139
187.0000,0.7531,0.0073,0.0175
188.0000,0.7636,0.0082,0.0211
189.0000,0.7743,0.0052,0.0129
190.0000,0.7850,0.0060,0.0194
191.0000,0.7960,0.0045,0.0150
192.0000,0.8071,0.0032,0.0170
193.0000,0.8183,0.0036,0.0104
194.0000,0.8297,0.0079,0.0188
195.0000,0.8412,0.0029,0.0111
196.0000,0.8530,0.0049,0.0140
197.0000,0.8648,0.0052,0.0190
198.0000,0.8769,0.0045,0.0191
199.0000,0.8891,0.0044,0.0122
200.0000,0.9015,0.0070,0.0395
201.0000,0.9140,0.0038,0.0202
202.0000,0.9268,0.0065,0.0262
203.0000,0.9397,0.0064,0.0240
204.0000,0.9528,0.0135,0.0279
205.0000,0.9660,0.0105,0.0189
206.0000,0.9795,0.0098,0.0224
207.0000,0.9931,0.0110,0.0319
208.0000,1.0069,0.0060,0.0230
209.0000,1.0210,0.0120,0.0276
210.0000,1.0352,0.0091,0.0262
211.0000,1.0496,0.0042,0.0205
212.0000,1.0642,0.0075,0.0160
213.0000,1.0790,0.0142,0.0338
214.0000,1.0941,0.0030,0.0118
215.0000,1.1093,0.0096,0.0221
216.0000,1.1247,0.0111,0.0274
217.0000,1.1404,0.0057,0.0193
218.0000,1.1563,0.0085,0.0250
219.0000,1.1724,0.0027,0.0231
220.0000,1.1887,0.0059,0.0225
