Idx,w_bc,min-bc-loss,min-total-loss
1.0000,0.0010,0.0010,0.0017
2.0000,0.0010,0.0011,0.0012
3.0000,0.0010,0.0011,0.0017
4.0000,0.0010,0.0011,0.0027
5.0000,0.0011,0.0011,0.0033
6.0000,0.0011,0.0011,0.0017
7.0000,0.0011,0.0011,0.0017
8.0000,0.0011,0.0012,0.0017
9.0000,0.0011,0.0012,0.0013
10.0000,0.0011,0.0012,0.0016
11.0000,0.0011,0.0012,0.0016
12.0000,0.0012,0.0012,0.0023
13.0000,0.0012,0.0012,0.0028
14.0000,0.0012,0.0012,0.0024
15.0000,0.0012,0.0013,0.0016
16.0000,0.0012,0.0013,0.0024
17.0000,0.0012,0.0013,0.0018
18.0000,0.0013,0.0013,0.0017
19.0000,0.0013,0.0013,0.0020
20.0000,0.0013,0.0014,0.0029
21.0000,0.0013,0.0014,0.0021
22.0000,0.0013,0.0014,0.0042
23.0000,0.0014,0.0014,0.0018
24.0000,0.0014,0.0011,0.0039
25.0000,0.0014,0.0015,0.0019
26.0000,0.0014,0.0015,0.0067
27.0000,0.0014,0.0015,0.0056
28.0000,0.0015,0.0015,0.0019
29.0000,0.0015,0.0015,0.0061
30.0000,0.0015,0.0016,0.0019
31.0000,0.0015,0.0016,0.0020
32.0000,0.0015,0.0016,0.0021
33.0000,0.0016,0.0016,0.0024
34.0000,0.0016,0.0010,0.0037
35.0000,0.0016,0.0017,0.0055
36.0000,0.0016,0.0017,0.0067
37.0000,0.0016,0.0017,0.0075
38.0000,0.0017,0.0017,0.0059
39.0000,0.0017,0.0017,0.0021
40.0000,0.0017,0.0018,0.0026
41.0000,0.0017,0.0018,0.0023
42.0000,0.0018,0.0018,0.0023
43.0000,0.0018,0.0019,0.0072
44.0000,0.0018,0.0019,0.0052
45.0000,0.0018,0.0019,0.0073
46.0000,0.0019,0.0019,0.0027
47.0000,0.0019,0.0020,0.0100
48.0000,0.0019,0.0020,0.0069
49.0000,0.0019,0.0020,0.0069
50.0000,0.0020,0.0021,0.0077
51.0000,0.0020,0.0021,0.0072
52.0000,0.0020,0.0021,0.0026
53.0000,0.0021,0.0021,0.0026
54.0000,0.0021,0.0022,0.0064
55.0000,0.0021,0.0022,0.0031
56.0000,0.0021,0.0022,0.0077
57.0000,0.0022,0.0023,0.0078
58.0000,0.0022,0.0023,0.0032
59.0000,0.0022,0.0023,0.0028
60.0000,0.0023,0.0024,0.0031
61.0000,0.0023,0.0024,0.0072
62.0000,0.0023,0.0024,0.0030
63.0000,0.0024,0.0025,0.0030
64.0000,0.0024,0.0025,0.0031
65.0000,0.0024,0.0025,0.0031
66.0000,0.0025,0.0026,0.0081
67.0000,0.0025,0.0026,0.0074
68.0000,0.0025,0.0026,0.0089
69.0000,0.0026,0.0027,0.0036
70.0000,0.0026,0.0027,0.0037
71.0000,0.0026,0.0028,0.0076
72.0000,0.0027,0.0028,0.0034
73.0000,0.0027,0.0028,0.0085
74.0000,0.0027,0.0018,0.0080
75.0000,0.0028,0.0029,0.0035
76.0000,0.0028,0.0030,0.0086
77.0000,0.0029,0.0030,0.0035
78.0000,0.0029,0.0030,0.0037
79.0000,0.0029,0.0031,0.0085
80.0000,0.0030,0.0031,0.0037
81.0000,0.0030,0.0032,0.0042
82.0000,0.0031,0.0032,0.0038
83.0000,0.0031,0.0033,0.0043
84.0000,0.0032,0.0032,0.0082
85.0000,0.0032,0.0033,0.0042
86.0000,0.0032,0.0034,0.0044
87.0000,0.0033,0.0032,0.0091
88.0000,0.0033,0.0035,0.0045
89.0000,0.0034,0.0035,0.0046
90.0000,0.0034,0.0032,0.0074
91.0000,0.0035,0.0036,0.0048
92.0000,0.0035,0.0030,0.0086
93.0000,0.0036,0.0037,0.0044
94.0000,0.0036,0.0033,0.0092
95.0000,0.0037,0.0038,0.0049
96.0000,0.0037,0.0033,0.0085
97.0000,0.0038,0.0039,0.0047
98.0000,0.0038,0.0040,0.0051
99.0000,0.0039,0.0033,0.0073
100.0000,0.0039,0.0033,0.0097
101.0000,0.0040,0.0042,0.0049
102.0000,0.0041,0.0042,0.0091
103.0000,0.0041,0.0043,0.0051
104.0000,0.0042,0.0044,0.0051
105.0000,0.0042,0.0044,0.0052
106.0000,0.0043,0.0045,0.0056
107.0000,0.0043,0.0045,0.0053
108.0000,0.0044,0.0046,0.0057
